timestamp,cpu,ram,disk_read,disk_write,net_sent,net_recv,proc,predicted_anomaly,user_label
2025-11-12T21:33:51.8669641,3.90,84.40,210694.47,164710.20,114583.83,5037270.55,381,true,TRUE
2025-11-12T21:36:04.9220607,10.80,81.80,210947.47,164925.06,114754.33,5037483.18,386,true,FALSE
2025-11-12T21:42:01.5728094,9.90,80.20,211127.91,165155.39,115461.62,5039273.02,382,true,FALSE
2025-11-12T21:49:28.5279008,4.40,83.00,211316.19,165553.13,116040.63,5039807.27,381,true,FALSE
2025-11-12T21:49:35.6153741,4.80,81.30,211316.75,165581.67,116045.81,5039820.60,381,true,FALSE
2025-11-12T21:49:37.5265485,4.70,81.30,211316.82,165582.85,116046.80,5039822.38,381,true,FALSE
